Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
28/11/2022;19;42;R
28/11/2022;20;42;R
28/11/2022;21;41;R
28/11/2022;22;42;R
28/11/2022;23;87;R
28/11/2022;24;80;R
29/11/2022;1;44;R
29/11/2022;2;43;R
29/11/2022;3;40;R
29/11/2022;4;40;R
29/11/2022;5;40;R
29/11/2022;6;42;R
29/11/2022;7;43;R
29/11/2022;8;64;R
29/11/2022;9;291;R
29/11/2022;10;172;R
29/11/2022;11;73;R
29/11/2022;12;45;R
29/11/2022;13;43;R
29/11/2022;14;42;R
29/11/2022;15;44;R
29/11/2022;16;58;R
29/11/2022;17;112;R
29/11/2022;18;134;R
29/11/2022;19;196;R
29/11/2022;20;196;R
29/11/2022;21;156;R
29/11/2022;22;378;R
29/11/2022;23;123;R
29/11/2022;24;62;R
30/11/2022;1;55;R
30/11/2022;2;51;R
30/11/2022;3;48;R
30/11/2022;4;46;R
30/11/2022;5;47;R
30/11/2022;6;56;R
30/11/2022;7;56;R
30/11/2022;8;109;R
30/11/2022;9;173;R
30/11/2022;10;137;R
30/11/2022;11;101;R
30/11/2022;12;103;R
30/11/2022;13;108;R
30/11/2022;14;96;R
30/11/2022;15;118;R
30/11/2022;16;68;R
30/11/2022;17;844;R
30/11/2022;18;320;R
30/11/2022;19;282;R
30/11/2022;20;295;R
30/11/2022;21;980;R
30/11/2022;22;588;R
30/11/2022;23;201;R
30/11/2022;24;66;R
01/12/2022;1;46;R
01/12/2022;2;47;R
01/12/2022;3;49;R
01/12/2022;4;47;R
01/12/2022;5;49;R
01/12/2022;6;46;R
01/12/2022;7;45;R
01/12/2022;8;47;R
01/12/2022;9;106;R
01/12/2022;10;376;R
01/12/2022;11;120;R
01/12/2022;12;143;R
01/12/2022;13;118;R
01/12/2022;14;283;R
01/12/2022;15;326;R
01/12/2022;16;207;R
01/12/2022;17;41;R
01/12/2022;18;44;R
01/12/2022;19;43;R
01/12/2022;20;45;R
01/12/2022;21;44;R
01/12/2022;22;47;R
01/12/2022;23;94;R
01/12/2022;24;59;R
02/12/2022;1;50;R
02/12/2022;2;45;R
02/12/2022;3;44;R
02/12/2022;4;44;R
02/12/2022;5;42;R
02/12/2022;6;43;R
02/12/2022;7;40;R
02/12/2022;8;42;R
02/12/2022;9;43;R
02/12/2022;10;42;R
02/12/2022;11;42;R
02/12/2022;12;42;R
02/12/2022;13;42;R
02/12/2022;14;42;R
02/12/2022;15;43;R
02/12/2022;16;43;R
02/12/2022;17;42;R
02/12/2022;18;39;R
02/12/2022;19;41;R
02/12/2022;20;40;R
02/12/2022;21;42;R
02/12/2022;22;43;R
02/12/2022;23;43;R
02/12/2022;24;42;R
03/12/2022;1;42;R
03/12/2022;2;42;R
03/12/2022;3;42;R
03/12/2022;4;42;R
03/12/2022;5;41;R
03/12/2022;6;41;R
