time;P;G(i);H_sun;T2m;WS10m;Int
20180117:2210;0.0;0.0;0.0;3.69;1.72;0.0
20180117:2310;0.0;0.0;0.0;2.82;1.66;0.0
20180118:0010;0.0;0.0;0.0;2.11;1.52;0.0
20180118:0110;0.0;0.0;0.0;1.55;1.52;0.0
20180118:0210;0.0;0.0;0.0;1.11;1.52;0.0
20180118:0310;0.0;0.0;0.0;0.69;1.52;0.0
20180118:0410;0.0;0.0;0.0;0.38;1.59;0.0
20180118:0510;0.0;0.0;0.0;0.13;1.72;0.0
20180118:0610;0.0;0.0;0.0;-0.02;1.79;0.0
20180118:0710;0.0;0.0;0.0;-0.19;1.72;0.0
20180118:0810;210.68;253.63;5.08;-0.38;1.45;0.0
20180118:0910;467.16;543.73;14.07;2.24;0.97;0.0
20180118:1010;626.41;756.04;21.45;6.53;0.97;0.0
20180118:1110;718.82;896.52;26.6;9.21;0.9;0.0
20180118:1210;729.3;924.8;28.93;10.99;0.76;0.0
20180118:1310;725.53;927.59;28.12;12.12;0.62;0.0
20180118:1410;636.67;808.4;24.29;12.82;0.28;0.0
20180118:1510;499.45;625.7;17.92;13.23;0.0;0.0
20180118:1610;289.25;365.93;9.65;13.17;0.28;0.0
20180118:1710;0.0;0.0;0.0;11.67;1.1;0.0
20180118:1810;0.0;0.0;0.0;10.39;0.76;0.0
20180118:1910;0.0;0.0;0.0;9.56;0.69;0.0
20180118:2010;0.0;0.0;0.0;8.58;0.48;0.0
20180118:2110;0.0;0.0;0.0;6.63;1.17;0.0
20180118:2210;0.0;0.0;0.0;3.57;1.93;0.0
20180118:2310;0.0;0.0;0.0;2.95;2.07;0.0
20180119:0010;0.0;0.0;0.0;3.49;2.28;0.0
20180119:0110;0.0;0.0;0.0;2.77;2.0;0.0
20180119:0210;0.0;0.0;0.0;1.96;1.52;0.0
20180119:0310;0.0;0.0;0.0;1.41;1.66;0.0
20180119:0410;0.0;0.0;0.0;1.19;1.93;0.0
20180119:0510;0.0;0.0;0.0;1.21;2.0;0.0
20180119:0610;0.0;0.0;0.0;1.07;1.93;0.0
20180119:0710;0.0;0.0;0.0;0.39;1.72;0.0
20180119:0810;232.98;279.33;5.18;0.1;1.66;0.0
20180119:0910;466.42;540.69;14.2;2.03;1.24;0.0
20180119:1010;635.85;765.91;21.6;6.77;1.24;0.0
20180119:1110;736.19;914.8;26.78;9.57;1.31;0.0
20180119:1210;758.15;952.59;29.14;11.42;1.52;0.0
